cust_ref;cust_gender;cust_prenom;cust_nom;cust_resp_gender;cust_enseigne;cust_fonction;cust_tel1;cust_tel2;cust_tel3;cust_tel4;cust_fax;cust_date_birth;cust_email;cust_adresse;cust_codeposte;cust_city;cust_creation_date;cust_comment;search_type_bien;search_transaction;search_min_surface;search_min_pieces;search_min_chambre;search_cp_ville;search_secteur;search_max_prix;cust_search_comment
15498;Madame;test1;FERON1;;;;04.71.04.03.05;07.60.01.03.03;;;01.18.05.05.04;05/06/1995;test1@gmail.com;11 rue des Roses;29200;BREST;14/12/2011;commentaire client1;maison;vente;20;4;2;29200 BREST;nom secteur;150000;commentaire sur la recherche
85445;Madame;test2;FERON2;;;;02.11.01.05.03;06.57.01.05.02;;;03.51.04.01.02;02/06/1995;test2@gmail.com;Rue Mirabeau;29480;LE RELECQ KERHUON;14/12/2011;commentaire client2;maison;vente;30;3;1;29480 LE RELECQ KERHUON;nom secteur;200000;
67678;Monsieur;test3;FERON3;;;;02.88.03.02.05;07.69.02.01.02;;;01.70.03.03.01;;test3@gmail.com;Rue de Siam;29200;BREST;15/12/2011;commentaire client3;maison,appartement;vente;40;3;2;29200 BREST;nom secteur;300000;commentaire sur la recherche
32313;Monsieur;test4;FERON4;;;;04.75.04.02.02;06.90.05.03.05;;;01.67.02.01.03;;test4@gmail.com;;;;15/12/2011;commentaire client4;maison;vente;50;4;2;;;150000;
66703;Madame;test5;FERON5;;;;04.81.05.02.01;07.64.01.05.05;;;01.05.05.05.04;05/12/1989;test5@gmail.com;;;;16/12/2011;commentaire client5;maison;vente;60;2;2;;;150000;
66815;Mademoiselle;test6;FERON6;;;;04.60.03.02.04;07.81.02.01.05;;;03.97.05.03.04;;test6@gmail.com;46 rue du pot pourri;29480;Le Relecq- Kerhuon;16/12/2011;commentaire client6;appartement;location;70;2;2;29480 Le Relecq- Kerhuon;nom secteur;500;commentaire sur la recherche
47142;Monsieur;test7;FERON7;;;;05.65.01.01.05;06.78.04.03.05;;;05.23.02.04.04;;test7@gmail.com;Boulevard Clémenceau;29480;LE RELECQ KERHUON;17/12/2011;commentaire client7;maison;vente;80;5;3;29480 LE RELECQ KERHUON;nom secteur;150000;
86560;Société;test9;FERON9;Madame;Etude Dupontel;;02.70.01.05.01;06.27.05.03.01;;;01.91.01.01.02;;test9@gmail.com;185 rue des Anémones;29200;BREST;18/12/2011;commentaire client9;maison;vente;90;2;2;29200 BREST;nom secteur;150000;commentaire sur la recherche
29514;Madame;test10;FERON10;;;;01.78.01.04.05;07.88.01.03.04;;;03.58.03.03.02;;test10@gmail.com;;;;18/12/2011;commentaire client10;appartement;location;100;6;3;;;800;commentaire sur la recherche
63577;Maître;test12;FERON12;;;;04.04.04.02.03;06.87.03.03.03;;;04.08.05.01.03;;test12@gmail.com;31 rue Platine;29000;QUIMPER;19/12/2011;commentaire client12;maison;vente;110;2;2;29000 QUIMPER;nom secteur;150000;
20662;Société;test13;FERON13;Monsieur;ETUDE GALDU;;04.79.05.03.05;07.45.03.04.01;;;03.04.05.03.02;;test13@gmail.com;;;;20/12/2011;commentaire client13;appartement;vente;120;4;2;;;150000;
82468;Société;test15;FERON15;;Etude Garu;;01.02.03.03.03;06.60.04.03.05;;;01.21.04.05.05;;test15@gmail.com;15 avenue Jean Jaurès;29200;BREST;21/12/2011;commentaire client15;maison;location;130;3;2;29200 BREST;nom secteur;700;commentaire sur la recherche
